Frame,Time,Speed,Gear,RPM,Tyre_FL,Tyre_FR,Tyre_RL,Tyre_RR
43876,690.704,58,4,4018,21.8428,21.8428,24.8167,24.8167
43877,690.72,58,4,4019,21.8428,21.8428,24.8167,24.8167
43878,690.737,58,4,4018,21.8428,21.8428,24.8167,24.8167
43879,690.755,58,4,4018,21.8428,21.8428,24.8167,24.8167
43880,690.771,58,4,4016,21.8428,21.8428,24.8167,24.8167
43881,690.788,57,4,4015,21.8428,21.8428,24.8167,24.8167
43882,690.804,57,4,4012,21.8428,21.8428,24.8167,24.8167
43883,690.822,57,4,4010,21.8428,21.8428,24.8167,24.8167
43884,690.841,57,4,4007,21.8428,21.8428,24.8167,24.8167
43885,690.859,57,4,4004,21.8428,21.8428,24.8167,24.8167
43886,690.878,57,4,4001,21.8428,21.8428,24.8167,24.8167
43887,690.894,57,4,3998,21.8428,21.8428,24.8167,24.8167
43888,690.91,56,4,3995,21.8428,21.8428,24.8167,24.8167
43889,690.927,56,4,3992,21.8428,21.8428,24.8167,24.8167
43890,690.943,56,4,3989,21.8428,21.8428,24.8167,24.8167
43891,690.959,56,4,3986,21.8428,21.8428,24.8167,24.8167
43892,690.975,55,4,3984,21.8428,21.8428,24.8167,24.8167
43893,690.992,55,4,3983,21.8428,21.8428,24.8167,24.8167
43894,691.009,55,4,3981,21.8428,21.8428,24.8167,24.8167
43895,691.025,55,4,3981,21.8428,21.8428,24.8167,24.8167
43896,691.042,55,4,3980,21.8428,21.8428,24.8167,24.8167
43897,691.059,55,4,3981,21.8428,21.8428,24.8167,24.8167
43898,691.075,55,4,3982,21.8428,21.8428,24.8167,24.8167
43899,691.092,54,4,3983,21.8428,21.8428,24.8167,24.8167
43900,691.11,54,4,3985,21.8428,21.8428,24.8167,24.8167
43901,691.127,54,4,3987,21.8428,21.8428,24.8167,24.8167
43902,691.145,54,4,3990,21.8428,21.8428,24.8167,24.8167
43903,691.154,54,4,3993,21.8428,21.8428,24.8167,24.8167
43904,691.172,54,4,3996,21.8428,21.8428,24.8167,24.8167
43905,691.189,54,4,3999,21.8428,21.8428,24.8167,24.8167
43906,691.206,54,4,4002,21.8428,21.8428,24.8167,24.8167
43907,691.223,54,4,4005,21.8428,21.8428,24.8167,24.8167
43908,691.24,54,4,4008,21.8428,21.8428,24.8167,24.8167
43909,691.256,54,4,4011,21.8428,21.8428,24.8167,24.8167
43910,691.272,54,4,4013,21.8428,21.8428,24.8167,24.8167
43911,691.289,54,4,4015,21.8428,21.8428,24.8167,24.8167
43912,691.305,54,4,4017,21.8428,21.8428,24.8167,24.8167
43913,691.321,54,4,4018,21.8428,21.8428,24.8167,24.8167
43914,691.34,54,4,4019,21.8428,21.8428,24.8167,24.8167
43915,691.358,54,4,4019,21.8428,21.8428,24.8167,24.8167
43916,691.368,54,4,4019,21.8428,21.8428,24.8167,24.8167
43917,691.387,53,4,4017,21.8428,21.8428,24.8167,24.8167
43918,691.404,53,4,4016,21.8428,21.8428,24.8167,24.8167
43919,691.422,53,4,4014,21.8428,21.8428,24.8167,24.8167
43920,691.439,53,4,4012,21.8428,21.8428,24.8167,24.8167
43921,691.456,53,4,4009,21.8428,21.8428,24.8167,24.8167
43922,691.473,53,4,4006,21.8428,21.8428,24.8167,24.8167
43923,691.49,53,4,4003,21.8428,21.8428,24.8167,24.8167
43924,691.507,53,4,4000,21.8428,21.8428,24.8167,24.8167
43925,691.523,53,4,3997,21.8428,21.8428,24.8167,24.8167
43926,691.54,53,4,3994,21.8428,21.8428,24.8167,24.8167
43927,691.556,53,4,3991,21.8428,21.8428,24.8167,24.8167
43928,691.573,53,4,3988,21.8428,21.8428,24.8167,24.8167
43929,691.59,53,4,3986,21.8428,21.8428,24.8167,24.8167
43930,691.607,52,4,3984,21.8428,21.8428,24.8167,24.8167
43931,691.623,52,4,3982,21.8428,21.8428,24.8167,24.8167
43932,691.64,52,4,3981,21.8428,21.8428,24.8167,24.8167
43933,691.656,52,4,3981,21.8428,21.8428,24.8167,24.8167
43934,691.673,52,4,3981,21.8428,21.8428,24.8167,24.8167
43935,691.689,52,4,3981,21.8428,21.8428,24.8167,24.8167
43936,691.706,52,4,3982,21.8428,21.8428,24.8167,24.8167
43937,691.723,51,4,3984,21.8428,21.8428,24.8167,24.8167
43938,691.741,51,4,3986,21.8428,21.8428,24.8167,24.8167
43939,691.758,51,4,3988,21.8428,21.8428,24.8167,24.8167
43940,691.775,51,4,3991,21.8428,21.8428,24.8167,24.8167
43941,691.792,51,4,3993,21.8428,21.8428,24.8167,24.8167
43942,691.81,51,4,3997,21.8428,21.8428,24.8167,24.8167
43943,691.82,50,4,4000,21.8428,21.8428,24.8167,24.8167
43944,691.839,50,4,4003,21.8428,21.8428,24.8167,24.8167
43945,691.858,50,4,4006,21.8428,21.8428,24.8167,24.8167
43946,691.876,50,4,4009,21.8428,21.8428,24.8167,24.8167
43947,691.893,50,4,4012,21.8428,21.8428,24.8167,24.8167
43948,691.91,50,4,4014,21.8428,21.8428,24.8167,24.8167
43949,691.928,50,4,4016,21.8428,21.8428,24.8167,24.8167
